SINR[105][2]=0.0743345 and in dB, it is -11.2881
SINR[106][1]=0.0377842 and in dB, it is -14.2269
SINR[106][2]=0.234164 and in dB, it is -6.3048
SINR[107][1]=0.000539003 and in dB, it is -32.6841
SINR[107][2]=0.114458 and in dB, it is -9.41354
SINR[108][1]=0.00140045 and in dB, it is -28.5373
SINR[108][2]=0.209627 and in dB, it is -6.78553
SINR[109][1]=0.0994613 and in dB, it is -10.0235
SINR[109][2]=0.568705 and in dB, it is -2.45113
SINR[110][1]=0.00149224 and in dB, it is -28.2616
SINR[110][2]=0.189596 and in dB, it is -7.22171
SINR[111][1]=0.0163246 and in dB, it is -17.8716
SINR[111][2]=0.21293 and in dB, it is -6.71763
SINR[112][1]=0.0323261 and in dB, it is -14.9045
SINR[112][2]=0.150881 and in dB, it is -8.21367
SINR[113][1]=0.00358082 and in dB, it is -24.4602
SINR[113][2]=0.891553 and in dB, it is -0.498527
SINR[114][1]=1.77489 and in dB, it is 2.49172
SINR[114][2]=1.73001 and in dB, it is 2.3805
SINR[115][1]=0.000833954 and in dB, it is -30.7886
SINR[115][2]=0.170917 and in dB, it is -7.67214
SINR[116][1]=0.000522347 and in dB, it is -32.8204
SINR[116][2]=0.115668 and in dB, it is -9.36785
SINR[117][1]=0.000591243 and in dB, it is -32.2823
SINR[117][2]=0.0898525 and in dB, it is -10.4647
SINR[118][1]=0.000458225 and in dB, it is -33.3892
SINR[118][2]=0.0903384 and in dB, it is -10.4413
SINR[119][1]=0.00225699 and in dB, it is -26.4647
SINR[119][2]=0.0889003 and in dB, it is -10.511
SINR[120][1]=0.00222455 and in dB, it is -26.5276
SINR[120][2]=1.03874 and in dB, it is 0.165069
SINR[121][1]=0.000539182 and in dB, it is -32.6826
SINR[121][2]=0.105696 and in dB, it is -9.75942
SINR[122][1]=0.00195854 and in dB, it is -27.0807
SINR[122][2]=0.406156 and in dB, it is -3.91307
SINR[123][1]=0.00336117 and in dB, it is -24.7351
SINR[123][2]=1.21107 and in dB, it is 0.831682
SINR[124][1]=0.000490541 and in dB, it is -33.0933
SINR[124][2]=0.0923154 and in dB, it is -10.3473
SINR[125][1]=0.00069731 and in dB, it is -31.5657
SINR[125][2]=0.208471 and in dB, it is -6.80955
SINR[126][1]=0.000442894 and in dB, it is -33.537
SINR[126][2]=0.0752795 and in dB, it is -11.2332
SINR[127][1]=0.000762934 and in dB, it is -31.1751
SINR[127][2]=0.115755 and in dB, it is -9.36461
SINR[128][1]=0.0106617 and in dB, it is -19.7217
SINR[128][2]=4.23473 and in dB, it is 6.26826
SINR[129][1]=0.00124269 and in dB, it is -29.0564
SINR[129][2]=0.275579 and in dB, it is -5.59754
SINR[130][1]=0.00126362 and in dB, it is -28.9838
SINR[130][2]=0.558709 and in dB, it is -2.52814
SINR[131][1]=0.00198539 and in dB, it is -27.0215
SINR[131][2]=0.559464 and in dB, it is -2.52228
SINR[132][1]=27.1246 and in dB, it is 14.3336
SINR[132][2]=0.0638873 and in dB, it is -11.9459
SINR[133][1]=0.00138398 and in dB, it is -28.5887
SINR[133][2]=0.376494 and in dB, it is -4.24241
SINR[134][1]=0.000875317 and in dB, it is -30.5783
SINR[134][2]=0.113772 and in dB, it is -9.43966
SINR[135][1]=0.252571 and in dB, it is -5.97617
SINR[135][2]=0.646461 and in dB, it is -1.89458
SINR[136][1]=0.00621313 and in dB, it is -22.0669
SINR[136][2]=0.24822 and in dB, it is -6.05164
SINR[137][1]=0.00313575 and in dB, it is -25.0366
SINR[137][2]=0.101071 and in dB, it is -9.95372
SINR[138][1]=0.000418423 and in dB, it is -33.7838
SINR[138][2]=0.0783578 and in dB, it is -11.0592
SINR[139][1]=0.00509525 and in dB, it is -22.9283
SINR[139][2]=0.140458 and in dB, it is -8.52453
SINR[140][1]=0.0014271 and in dB, it is -28.4555
SINR[140][2]=0.275755 and in dB, it is -5.59476
SINR[141][1]=0.102882 and in dB, it is -9.87659
SINR[141][2]=9.42203 and in dB, it is 9.74145
SINR[142][1]=0.00582481 and in dB, it is -22.3472
SINR[142][2]=0.172481 and in dB, it is -7.63258
SINR[143][1]=0.00545696 and in dB, it is -22.6305
SINR[143][2]=1.47354 and in dB, it is 1.68363
SINR[144][1]=0.0123161 and in dB, it is -19.0953
SINR[144][2]=1.68747 and in dB, it is 2.27236
SINR[145][1]=0.00470884 and in dB, it is -23.2709
SINR[145][2]=1.60463 and in dB, it is 2.05375
SINR[146][1]=0.00110624 and in dB, it is -29.5615
SINR[146][2]=0.310278 and in dB, it is -5.08249
SINR[147][1]=0.00232332 and in dB, it is -26.3389
SINR[147][2]=0.0544727 and in dB, it is -12.6382
SINR[148][1]=0.00150171 and in dB, it is -28.2341
SINR[148][2]=0.40144 and in dB, it is -3.96379
SINR[149][1]=0.325778 and in dB, it is -4.87078
SINR[149][2]=1.17101 and in dB, it is 0.685592
SINR[150][1]=0.00181993 and in dB, it is -27.3995
SINR[150][2]=1.09456 and in dB, it is 0.392392
SINR[151][1]=0.000772717 and in dB, it is -31.1198
SINR[151][2]=0.127278 and in dB, it is -8.95246
SINR[152][1]=0.000981932 and in dB, it is -30.0792
SINR[152][2]=0.131529 and in dB, it is -8.80978
SINR[153][1]=0.0201239 and in dB, it is -16.9629
SINR[153][2]=0.1248 and in dB, it is -9.03786
SINR[154][1]=0.0010435 and in dB, it is -29.8151
SINR[154][2]=0.271999 and in dB, it is -5.65432
SINR[155][1]=0.0206074 and in dB, it is -16.8598
SINR[155][2]=2263.33 and in dB, it is 33.5475
SINR[156][1]=0.00398352 and in dB, it is -23.9973
SINR[156][2]=0.231997 and in dB, it is -6.34517
SINR[157][1]=0.0385644 and in dB, it is -14.1381
SINR[157][2]=0.170541 and in dB, it is -7.6817
SINR[158][1]=0.0249513 and in dB, it is -16.0291
SINR[158][2]=0.134744 and in dB, it is -8.7049
SINR[159][1]=0.462203 and in dB, it is -3.35167
SINR[159][2]=5.85423 and in dB, it is 7.6747
SINR[160][1]=0.000494479 and in dB, it is -33.0585
SINR[160][2]=0.0816491 and in dB, it is -10.8805
SINR[161][1]=0.00188663 and in dB, it is -27.2431
SINR[161][2]=0.867016 and in dB, it is -0.619729
SINR[162][1]=0.0137631 and in dB, it is -18.6128
SINR[162][2]=0.208137 and in dB, it is -6.81651
SINR[163][1]=0.000995679 and in dB, it is -30.0188
SINR[163][2]=0.176052 and in dB, it is -7.54359
SINR[164][1]=0.00119855 and in dB, it is -29.2135
SINR[164][2]=0.127772 and in dB, it is -8.93564
SINR[165][1]=0.0991109 and in dB, it is -10.0388
SINR[165][2]=0.942436 and in dB, it is -0.257483
SINR[166][1]=0.0016143 and in dB, it is -27.9202
SINR[166][2]=0.164794 and in dB, it is -7.83058
SINR[167][1]=0.00686023 and in dB, it is -21.6366
SINR[167][2]=0.53695 and in dB, it is -2.70066
SINR[168][1]=0.0226097 and in dB, it is -16.457
SINR[168][2]=0.12288 and in dB, it is -9.10518
SINR[169][1]=0.000915069 and in dB, it is -30.3855
SINR[169][2]=0.215078 and in dB, it is -6.67403
SINR[170][1]=0.00307737 and in dB, it is -25.1182
SINR[170][2]=1.5852 and in dB, it is 2.00084
SINR[171][1]=0.00252906 and in dB, it is -25.9704
SINR[171][2]=0.104726 and in dB, it is -9.79947
SINR[172][1]=0.0873681 and in dB, it is -10.5865
SINR[172][2]=0.481451 and in dB, it is -3.17448
SINR[173][1]=0.0026682 and in dB, it is -25.7378
SINR[173][2]=0.80123 and in dB, it is -0.96243
SINR[174][1]=0.00033586 and in dB, it is -34.7384
SINR[174][2]=0.0488632 and in dB, it is -13.1102
SINR[175][1]=0.00150969 and in dB, it is -28.2111
SINR[175][2]=0.372437 and in dB, it is -4.28948
SINR[176][1]=0.000757013 and in dB, it is -31.209
SINR[176][2]=0.234823 and in dB, it is -6.2926
SINR[177][1]=0.00270341 and in dB, it is -25.6809
SINR[177][2]=0.246134 and in dB, it is -6.08828
SINR[178][1]=0.0112116 and in dB, it is -19.5033
SINR[178][2]=0.243798 and in dB, it is -6.1297
SINR[179][1]=0.000416422 and in dB, it is -33.8047
SINR[179][2]=0.0809904 and in dB, it is -10.9157
SINR[180][1]=0.026734 and in dB, it is -15.7294
SINR[180][2]=0.309879 and in dB, it is -5.08808
SINR[181][1]=0.0223136 and in dB, it is -16.5143
SINR[181][2]=0.202082 and in dB, it is -6.94473
SINR[182][1]=2.54972 and in dB, it is 4.06493
SINR[182][2]=0.858908 and in dB, it is -0.660533
SINR[183][1]=0.00068848 and in dB, it is -31.6211
SINR[183][2]=0.180567 and in dB, it is -7.43363
SINR[184][1]=0.000497077 and in dB, it is -33.0358
SINR[184][2]=0.111565 and in dB, it is -9.5247
SINR[185][1]=0.0621411 and in dB, it is -12.0662
SINR[185][2]=0.232611 and in dB, it is -6.33369
