% time	cellId	IMSI	RNTI	sinrLinear
0.48	1	10	10	5.76635e+11
0.481	1	1	1	4.29771e+11
0.482	1	2	2	1.36397e+12
0.483	1	3	3	1.23086e+12
0.484	1	4	4	1.09069e+12
0.485	1	5	5	2.96421e+11
0.486	1	6	6	5.39901e+11
0.487	1	7	7	5.31552e+11
0.488	1	8	8	2.24829e+11
0.489	1	9	9	3.44901e+11
0.49	1	10	10	6.53807e+11
0.491	1	1	1	3.71113e+11
0.492	1	2	2	1.24838e+12
0.493	1	3	3	1.03461e+12
0.494	1	4	4	8.72231e+11
0.495	1	5	5	3.17623e+11
0.496	1	6	6	6.2503e+11
0.497	1	7	7	6.4684e+11
0.498	1	8	8	2.14469e+11
0.499	1	9	9	3.92363e+11
0.5	1	10	10	7.10476e+11
0.501	1	1	1	4.7544e+11
0.502	1	2	2	1.46218e+12
0.503	1	3	3	1.06506e+12
0.504	1	4	4	1.18219e+12
0.505	1	5	5	6.33035e+11
0.506	1	6	6	1.33974e+12
0.507	1	7	7	8.66002e+11
0.508	1	8	8	4.07504e+11
0.509	1	9	9	9.39354e+11
0.51	1	10	10	8.05473e+11
0.511	1	1	1	5.51003e+11
0.512	1	2	2	1.13947e+12
0.513	1	3	3	1.24092e+12
0.514	1	4	4	1.27217e+12
0.515	1	5	5	5.93753e+11
0.516	1	6	6	1.22768e+12
0.517	1	7	7	9.60116e+11
0.518	1	8	8	5.11244e+11
0.519	1	9	9	8.98601e+11
0.52	1	10	10	7.79757e+11
0.521	1	1	1	6.00159e+11
0.522	1	2	2	8.29406e+11
0.523	1	3	3	1.31111e+12
0.524	1	4	4	1.25154e+12
0.525	1	5	5	6.29091e+11
0.526	1	6	6	1.14223e+12
0.527	1	7	7	1.04147e+12
0.528	1	8	8	6.24301e+11
0.529	1	9	9	7.56635e+11
0.53	1	10	10	7.59893e+11
0.531	1	1	1	6.21313e+11
0.532	1	2	2	5.85839e+11
0.533	1	3	3	1.26602e+12
0.534	1	4	4	1.11937e+12
0.535	1	5	5	7.26284e+11
0.536	1	6	6	1.08826e+12
0.537	1	7	7	1.11778e+12
0.538	1	8	8	7.09645e+11
0.539	1	9	9	5.70021e+11
0.54	1	10	10	7.48213e+11
0.541	1	1	1	6.2104e+11
