% time	cellId	IMSI	RNTI	sinrLinear
0.267	1	7	7	0.0130836
0.268	1	8	8	0.0132277
0.269	1	9	9	0.0214719
0.27	1	10	10	8.63677e+11
0.271	1	1	1	16.6707
0.272	1	2	2	1.44612
0.273	1	3	3	0.341326
0.274	1	4	4	0.134676
0.275	1	5	5	0.150012
0.276	1	6	6	0.316063
0.277	1	7	7	0.00496821
0.278	1	8	8	0.0103189
0.279	1	9	9	0.0193418
0.28	1	10	10	8.24822e+11
0.281	1	1	1	13.5088
0.282	1	2	2	2.08405
0.283	1	3	3	0.409451
0.284	1	4	4	0.120456
0.285	1	5	5	0.154046
0.286	1	6	6	0.288372
0.287	1	7	7	0.00602395
0.288	1	8	8	0.0137685
0.289	1	9	9	0.0164852
0.29	1	10	10	7.94333e+11
0.291	1	1	1	11.4557
0.292	1	2	2	2.76081
0.293	1	3	3	0.477147
0.294	1	4	4	0.123585
0.295	1	5	5	0.142843
0.296	1	6	6	0.245183
0.297	1	7	7	0.0160664
0.298	1	8	8	0.0213854
0.299	1	9	9	0.0136313
0.3	1	10	10	7.70982e+11
0.301	1	1	1	10.8828
0.302	1	2	2	3.32397
0.303	1	3	3	0.543607
0.304	1	4	4	0.149482
0.305	1	5	5	0.124696
0.306	1	6	6	0.196676
0.307	1	7	7	0.0322358
0.308	1	8	8	0.0298165
0.309	1	9	9	0.0116164
0.31	1	10	10	7.54052e+11
0.311	1	1	1	11.6625
0.312	1	2	2	3.6437
0.313	1	3	3	0.60601
0.314	1	4	4	0.195071
0.315	1	5	5	0.110895
0.316	1	6	6	0.153212
0.317	1	7	7	0.0497969
0.318	1	8	8	0.0358963
0.319	1	9	9	0.011212
0.32	1	10	10	7.46914e+11
0.321	1	1	1	13.2229
0.322	1	2	2	3.64845
0.323	1	3	3	0.657669
0.324	1	4	4	0.249035
0.325	1	5	5	0.110432
0.326	1	6	6	0.122351
0.327	1	7	7	0.0639114
0.328	1	8	8	0.0377478
0.329	1	9	9	0.0128294
0.33	1	10	10	7.56296e+11
0.331	1	1	1	14.7624
0.332	1	2	2	3.34951
0.333	1	3	3	0.687953
0.334	1	4	4	0.295643
0.335	1	5	5	0.126354
0.336	1	6	6	0.106791
0.337	1	7	7	0.0710232
0.338	1	8	8	0.0356381
0.339	1	9	9	0.0163526
0.34	1	10	10	7.91204e+11
0.341	1	1	1	15.49
0.342	1	2	2	2.8382
0.343	1	3	3	0.683584
0.344	1	4	4	0.319233
0.345	1	5	5	0.154968
0.346	1	6	6	0.104626
0.347	1	7	7	0.0700841
0.348	1	8	8	0.0313295
0.349	1	9	9	0.0211051
0.35	1	10	10	8.57388e+11
0.351	1	1	1	14.8826
0.352	1	2	2	2.25192
0.353	1	3	3	0.635375
0.354	1	4	4	0.31032
0.355	1	5	5	0.187026
0.356	1	6	6	0.110409
0.357	1	7	7	0.0628947
0.358	1	8	8	0.0275424
0.359	1	9	9	0.0260399
0.36	1	10	10	9.50184e+11
0.361	1	1	1	12.8726
0.362	1	2	2	1.74987
0.363	1	3	3	0.546298
0.364	1	4	4	0.270611
0.365	1	5	5	0.211472
0.366	1	6	6	0.117063
0.367	1	7	7	0.0530236
0.368	1	8	8	0.0266605
0.369	1	9	9	0.0299395
0.37	1	10	10	1.05723e+12
0.371	1	1	1	9.83707
0.372	1	2	2	1.45862
0.373	1	3	3	0.431988
0.374	1	4	4	0.211398
0.375	1	5	5	0.219677
0.376	1	6	6	0.118783
0.377	1	7	7	0.0445918
0.378	1	8	8	0.0297701
0.379	1	9	9	0.0318157
0.38	1	10	10	1.15526e+12
0.381	1	1	1	6.50206
0.382	1	2	2	1.4511
0.383	1	3	3	0.320397
0.384	1	4	4	0.152359
0.385	1	5	5	0.208134
0.386	1	6	6	0.112363
0.387	1	7	7	0.0407703
0.388	1	8	8	0.0362839
0.389	1	9	9	0.0311365
0.39	1	10	10	1.21584e+12
0.391	1	1	1	3.73541
0.392	1	2	2	1.73292
0.393	1	3	3	0.244377
0.394	1	4	4	0.113892
0.395	1	5	5	0.179196
0.396	1	6	6	0.0978417
0.397	1	7	7	0.0424552
0.398	1	8	8	0.0441677
